molecule_chembl_id,standard_value,canonical_smiles
CHEMBL490922,500.0,O=C(/C=C/c1ccc(OCc2ccccc2)cc1)c1ccc(F)cc1
CHEMBL489718,1250.0,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1
CHEMBL7976,1410.0,O=C(/C=C/c1ccccc1)c1ccccc1
CHEMBL491888,1030.0,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(C)cc2)c(O)c1
CHEMBL450771,18760.0,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1
CHEMBL511601,20000.0,N[C@]1(c2ccccc2)C[C@]1(F)c1ccccc1
CHEMBL469024,37000.0,N[C@H]1C[C@@]1(F)c1ccccc1
CHEMBL500248,470000.0,COc1ccc([C@@]2(F)C[C@H]2N)cc1OC
CHEMBL468855,230000.0,COc1ccc([C@@]2(F)C[C@@H]2N)cc1OC
CHEMBL468854,18000.0,COc1ccc([C@@]2(F)C[C@H]2N)cc1
CHEMBL462630,5100.0,COc1ccc([C@@]2(F)C[C@@H]2N)cc1
CHEMBL468852,13000.0,Cc1ccc([C@@]2(F)C[C@@H]2N)cc1
CHEMBL446059,7100.0,N[C@@H]1C[C@]1(F)c1ccc(C(F)(F)F)cc1
CHEMBL468597,5400.0,N[C@H]1C[C@]1(F)c1ccc(C(F)(F)F)cc1
CHEMBL446771,10000.0,N[C@@H]1C[C@]1(F)c1ccc(F)cc1
CHEMBL447729,4900.0,N[C@H]1C[C@]1(F)c1ccc(F)cc1
CHEMBL460269,4800.0,N[C@@H]1C[C@]1(F)c1ccc(Cl)cc1
CHEMBL466770,3700.0,N[C@H]1C[C@]1(F)c1ccc(Cl)cc1
CHEMBL467794,19000.0,N[C@@H]1C[C@@H]1c1ccccc1
CHEMBL509322,24000.0,NC[C@@]1(c2ccccc2)C[C@@H]1F
CHEMBL459523,71320.0,Cc1cc(=O)oc2c(C)c(O)ccc12
CHEMBL487071,73200.0,Cc1cc(=O)oc2c(C)c3oc4c(c3cc12)CCC4
CHEMBL504356,16530.0,COc1c2occc2cc2cc(N)c(=O)oc12
CHEMBL487236,260000.0,COc1c2ccc(=O)oc2cc2occ(C)c12
CHEMBL487235,1.49,C=C(Br)COc1ccc2c(oc(=O)c3ccccc32)c1C
CHEMBL520061,9360.0,COc1c(OCC(C)=O)ccc2c1oc(=O)c1ccccc12
CHEMBL488072,28130.0,CC(=O)COc1ccc2c(oc(=O)c3ccccc32)c1C
CHEMBL488075,236.0,C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCCC3
CHEMBL488074,1.18,C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCC3
CHEMBL488063,12120.0,COc1c(OCC(C)=O)ccc2c3c(c(=O)oc12)CCCC3
CHEMBL488073,17300.0,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCCC3
CHEMBL488076,165.0,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCC3
CHEMBL487050,12980.0,COc1c(OCC(C)=O)ccc2c3c(c(=O)oc12)CCC3
CHEMBL372943,5570.0,Cc1cc(=O)oc2cc(OC3CCCC3=O)ccc12
CHEMBL488917,3870.0,Cc1cc(=O)oc2c(C)c(OC3CCCCC3=O)ccc12
CHEMBL488916,10600.0,Cc1cc(=O)oc2c(C)c(OC3CCCC3=O)ccc12
CHEMBL519426,856000.0,COc1c(OC2CCCC2=O)ccc2ccc(=O)oc12
CHEMBL488267,44100.0,COc1cc(OCC(C)=O)cc2oc(=O)ccc12
CHEMBL488266,50200.0,COc1c(O)ccc2c3c(c(=O)oc12)CCCC3
CHEMBL12208,80410.0,Cc1cc(=O)oc2cc(O)ccc12
CHEMBL560280,60.0,CC(=O)N1N=C(c2c(O)cccc2O)CC1c1cccc(C)c1
CHEMBL396778,80.0,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
